# tag, sector, industry, tag_id
VOD.L, Communication Services, Telecom Services, 1
ATHN, Financial Services, Shell Companies, 1038
ATHX, Healthcare, Biotechnology, 1039
ATI, Industrials, Metal Fabrication, 1040
ATIF, Financial Services, Capital Markets, 1041
ATKR, Industrials, Electrical Equipment & Parts, 1042
ATLC, Financial Services, Credit Services, 1043
ATLCY, Industrials, Specialty Industrial Machinery, 1044
ATLKY, Industrials, Specialty Industrial Machinery, 1045
ATLO, Financial Services, Banks - Regional, 1046
ATMR, Financial Services, Shell Companies, 1049
ATNF, Healthcare, Biotechnology, 1050
ATNI, Communication Services, Telecom Services, 1051
ATNM, Healthcare, Biotechnology, 1052
ATNX, Healthcare, Drug Manufacturers - Specialty & Generic, 1053
ATO, Utilities, Utilities - Regulated Gas, 1054
ATO.PA, Utilities, Utilities - Regulated Gas, 1055
ATOM, Technology, Semiconductor Equipment & Materials, 1056
ATOS, Healthcare, Biotechnology, 1057
ATR, Consumer Cyclical, Packaging & Containers, 1059
ATR.L, Consumer Cyclical, Packaging & Containers, 1060
ATRA, Healthcare, Biotechnology, 1061
ATRC, Healthcare, Medical Instruments & Supplies, 1062
ATRI, Healthcare, Medical Instruments & Supplies, 1063
ATRO, Industrials, Aerospace & Defense, 1064
ATROB, Industrials, Aerospace & Defense, 1065
ATRS, Healthcare, Medical Instruments & Supplies, 1066
ATSG, Industrials, Integrated Freight & Logistics, 1069
ATTO, Industrials, Specialty Business Services, 1073
ATUS, Communication Services, Telecom Services, 1074
ATUSF, Basic Materials, Other Industrial Metals & Mining, 1075
ATVI, Communication Services, Electronic Gaming & Multimedia, 1076
ATVK, Industrials, Specialty Industrial Machinery, 1077
ATXI, Healthcare, Biotechnology, 1078
ATYM.L, Consumer Cyclical, Footwear & Accessories, 1080
AU, Basic Materials, Gold, 1081
AUB, Financial Services, Banks - Regional, 1082
AUBN, Financial Services, Banks - Regional, 1083
AUCOY, Basic Materials, Other Precious Metals & Mining, 1085
AUD, Communication Services, Broadcasting, 1086
AUDC, Technology, Communication Equipment, 1087
AUMN, Basic Materials, Other Precious Metals & Mining, 1092
AUOTY, Technology, Electronic Components, 1093
AUPH, Healthcare, Biotechnology, 1094
AURC, Financial Services, Shell Companies, 1095
AUS, Financial Services, Shell Companies, 1096
AUTL, Healthcare, Biotechnology, 1098
AUTO.L, Communication Services, Internet Content & Information, 1100
AUTO, Communication Services, Internet Content & Information, 1101
AUUD, Technology, Software - Application, 1102
AUVI, Consumer Cyclical, Furnishings, Fixtures & Appliances, 1103
AUY, Basic Materials, Gold, 1104
AVA, Utilities, Utilities - Diversified, 1108
AVAH, Healthcare, Medical Care Facilities, 1109
AVAL, Financial Services, Banks - Regional, 1110
AVAN, Financial Services, Shell Companies, 1111
AVAV, Industrials, Aerospace & Defense, 1113
AVB, Real Estate, REIT - Residential, 1114
AVBH, Financial Services, Banks - Regional, 1115
AVCO, Healthcare, Medical Care Facilities, 1116
AVCT, Technology, Information Technology Services, 1117
AVD, Basic Materials, Agricultural Inputs, 1118
AVDL, Healthcare, Drug Manufacturers - Specialty & Generic, 1119
AVEO, Healthcare, Biotechnology, 1120
AVGO, Technology, Semiconductors, 1122
AVGR, Healthcare, Medical Devices, 1123
AVGR, Healthcare, Medical Devices, 1124
AVHNY, Industrials, Engineering & Construction, 1125
AVHOQ, Industrials, Airlines, 1126
AVID, Communication Services, Electronic Gaming & Multimedia, 1127
AVIFY, Communication Services, Telecom Services, 1128
AVIR, Healthcare, Biotechnology, 1129
AVLNF, Basic Materials, Other Industrial Metals & Mining, 1130
AVLR, Technology, Software - Application, 1131
AVNS, Healthcare, Medical Devices, 1132
AVNT, Basic Materials, Specialty Chemicals, 1133
AVNW, Technology, Communication Equipment, 1134
AVO, Consumer Defensive, Farm Products, 1135
AVRO, Healthcare, Biotechnology, 1137
AVT, Technology, Electronics & Computer Distribution, 1139
AVTR, Basic Materials, Specialty Chemicals, 1140
AVXL, Healthcare, Biotechnology, 1143
AVY, Industrials, Business Equipment & Supplies, 1144
AVYA, Technology, Software - Application, 1145
AWCMY, Basic Materials, Aluminum, 1146
AWH, Healthcare, Diagnostics & Research, 1148
AWI, Industrials, Building Products & Equipment, 1149
AWK, Utilities, Utilities - Regulated Water, 1150
AWR, Utilities, Utilities - Regulated Water, 1151
AWRE, Technology, Software - Application, 1152
AWX, Industrials, Waste Management, 1154
AX, Financial Services, Banks - Regional, 1155
AXAHY, Financial Services, Insurance - Diversified, 1156
AXAS, Energy, Oil & Gas E&P, 1157
AXDX, Healthcare, Diagnostics & Research, 1158
AXGN, Healthcare, Medical Devices, 1159
AXL, Consumer Cyclical, Auto Parts, 1160
AXLA, Healthcare, Biotechnology, 1161
AXNX, Healthcare, Medical Devices, 1162
AXON, Industrials, Aerospace & Defense, 1163
AXP, Financial Services, Credit Services, 1164
AXR, Real Estate, Real Estate Services, 1165
AXS.L, Financial Services, Insurance - Property & Casualty, 1166
AXS, Financial Services, Insurance - Property & Casualty, 1167
AXSM, Healthcare, Biotechnology, 1168
AXTA, Basic Materials, Specialty Chemicals, 1169
AXTI, Technology, Semiconductor Equipment & Materials, 1170
AXU, Basic Materials, Other Precious Metals & Mining, 1171
AY, Utilities, Utilities - Renewable, 1172
AYAG, Industrials, Consulting Services, 1173
AYALY, Industrials, Conglomerates, 1174
AYI, Industrials, Electrical Equipment & Parts, 1175
AYLA, Healthcare, Biotechnology, 1176
AYRO, Consumer Cyclical, Auto Manufacturers, 1178
AYSI, Basic Materials, Steel, 1179
AYTU, Healthcare, Biotechnology, 1180
AYX, Technology, Software - Application, 1181
AZEK, Industrials, Building Products & Equipment, 1182
AZIHY, Financial Services, Asset Management, 1183
AZN, Healthcare, Drug Manufacturers - General, 1185
AZN.L, Healthcare, Drug Manufacturers - General, 1186
AZO, Consumer Cyclical, Specialty Retail, 1187
AZPN, Technology, Software - Application, 1188
AZRE, Utilities, Utilities - Renewable, 1189
AZRX, Healthcare, Biotechnology, 1190
AZUL, Industrials, Airlines, 1191
AZYO, Healthcare, Medical Devices, 1192
AZZ, Industrials, Electrical Equipment & Parts, 1193
B, Industrials, Specialty Industrial Machinery, 1194
BA, Industrials, Aerospace & Defense, 1197
BA..L, Industrials, Aerospace & Defense, 1198
BABA, Consumer Cyclical, Internet Retail, 1202
BAC, Financial Services, Banks - Diversified, 1204
BAESY, Industrials, Aerospace & Defense, 1207
BAH, Industrials, Consulting Services, 1210
BAK, Basic Materials, Chemicals, 1211
BALY, Consumer Cyclical, Resorts & Casinos, 1215
BAM, Financial Services, Asset Management, 1216
BANC, Financial Services, Banks - Regional, 1219
BAND, Technology, Software - Infrastructure, 1220
BANF, Financial Services, Banks - Regional, 1221
BANI, Consumer Cyclical, Luxury Goods, 1222
BANR, Financial Services, Banks - Regional, 1223
BANT, Industrials, Aerospace & Defense, 1224
BAOS, Communication Services, Advertising Agencies, 1226
BAP, Financial Services, Banks - Regional, 1227
BASFY, Basic Materials, Chemicals, 1237
BATL, Energy, Oil & Gas E&P, 1239
BAX, Healthcare, Medical Instruments & Supplies, 1242
BAYRY, Healthcare, Drug Manufacturers - General, 1244
BB, Technology, Software - Infrastructure, 1245
BBAR, Financial Services, Banks - Regional, 1247
BBBK, Financial Services, Banks - Regional, 1249
BBBY, Consumer Cyclical, Specialty Retail, 1250
BBCP, Industrials, Engineering & Construction, 1251
BBD, Financial Services, Banks - Regional, 1252
BBDC, Financial Services, Credit Services, 1253
BBDO, Financial Services, Banks - Regional, 1254
BBGI, Communication Services, Broadcasting, 1257
BBGI.L, Communication Services, Broadcasting, 1258
BBI, Healthcare, Biotechnology, 1260
BBIG, Consumer Cyclical, Leisure, 1261
BBIO, Healthcare, Biotechnology, 1263
BBKCF, Financial Services, Capital Markets, 1264
BBL, Basic Materials, Other Industrial Metals & Mining, 1265
BBQ, Consumer Cyclical, Restaurants, 1268
BBSI, Industrials, Staffing & Employment Services, 1269
BBVA, Financial Services, Banks - Diversified, 1274
BBVA, Financial Services, Banks - Diversified, 1275
BBW, Consumer Cyclical, Specialty Retail, 1276
BBY.L, Consumer Cyclical, Specialty Retail, 1277
BBY, Consumer Cyclical, Specialty Retail, 1278
BC, Consumer Cyclical, Leisure, 1279
BCAB, Healthcare, Biotechnology, 1281
BCAC, Financial Services, Shell Companies, 1282
BCAL, Financial Services, Banks - Regional, 1283
BCBP, Financial Services, Banks - Regional, 1286
BCC, Basic Materials, Lumber & Wood Production, 1287
BCDA, Healthcare, Biotechnology, 1288
BCE, Communication Services, Telecom Services, 1289
BCEI, Energy, Oil & Gas E&P, 1290
BCEL, Healthcare, Biotechnology, 1291
BCH, Financial Services, Banks - Regional, 1292
BCLI, Healthcare, Biotechnology, 1297
BCML, Financial Services, Banks - Regional, 1298
BCNAY, Technology, Electronic Components, 1300
BCO, Industrials, Security & Protection Services, 1301
BCOR, Financial Services, Asset Management, 1304
BCOV, Technology, Software - Application, 1305
BCOW, Financial Services, Banks - Regional, 1306
BCPC, Basic Materials, Specialty Chemicals, 1307
BCRX, Healthcare, Biotechnology, 1309
BCS, Financial Services, Banks - Diversified, 1310
BCSF, Financial Services, Asset Management, 1312
BCTF, Financial Services, Banks - Regional, 1314
BCTG, Financial Services, Shell Companies, 1315
BCTX, Healthcare, Biotechnology, 1316
BCUCY, Consumer Cyclical, Luxury Goods, 1317
BCYC, Healthcare, Biotechnology, 1319
BCYP, Financial Services, Shell Companies, 1320
BDC, Industrials, Electrical Equipment & Parts, 1321
BDL, Consumer Cyclical, Restaurants, 1323
BDN, Real Estate, REIT - Office, 1324
BDNNY, Basic Materials, Other Industrial Metals & Mining, 1325
BDORY, Financial Services, Banks - Regional, 1326
BDR, Technology, Communication Equipment, 1327
BDRFY, Consumer Defensive, Household & Personal Products, 1328
BDSI, Healthcare, Drug Manufacturers - Specialty & Generic, 1329
BDSX, Healthcare, Diagnostics & Research, 1330
BDTX, Healthcare, Biotechnology, 1332
BDVSY, Industrials, Conglomerates, 1333
BDX, Healthcare, Medical Instruments & Supplies, 1334
BE, Industrials, Electrical Equipment & Parts, 1335
BEAM, Healthcare, Biotechnology, 1337
BEBE, Consumer Cyclical, Apparel Retail, 1339
BECN, Industrials, Building Products & Equipment, 1340
BEDU, Consumer Defensive, Education & Training Services, 1341
BEEM, Technology, Solar, 1342
BEKE, Real Estate, Real Estate Services, 1346
BELFA, Technology, Electronic Components, 1348
BELFB, Technology, Electronic Components, 1349
BELP, Real Estate, REIT - Diversified, 1350
BELR, Technology, Software - Application, 1351
BEN, Financial Services, Asset Management, 1355
BENE, Financial Services, Shell Companies, 1356
BENE.L, Financial Services, Shell Companies, 1357
BEOB, Financial Services, Banks - Regional, 1358
BEP, Utilities, Utilities - Renewable, 1359
BERI.L, Energy, Oil & Gas E&P, 1360
BERK, Financial Services, Banks - Regional, 1361
BERY, Consumer Cyclical, Packaging & Containers, 1362
BEST, Industrials, Trucking, 1364
BFAM, Consumer Cyclical, Personal Services, 1368
BFC, Financial Services, Banks - Regional, 1369
BFI, Consumer Cyclical, Restaurants, 1370
BFIN, Financial Services, Banks - Regional, 1371
BFLBY, Industrials, Engineering & Construction, 1373
BFLY, Healthcare, Medical Devices, 1374
BFRA, Healthcare, Biotechnology, 1375
BFS, Real Estate, REIT - Retail, 1376
BFST, Financial Services, Banks - Regional, 1379
BG, Consumer Defensive, Farm Products, 1380
BG, Consumer Defensive, Farm Products, 1381
BGAOY, Communication Services, Telecom Services, 1382
BGCP, Financial Services, Capital Markets, 1384
BGFV, Consumer Cyclical, Specialty Retail, 1388
BGI, Consumer Cyclical, Luxury Goods, 1390
BGNE, Healthcare, Biotechnology, 1392
BGS, Consumer Defensive, Packaged Foods, 1394
BGS.L, Consumer Defensive, Packaged Foods, 1395
BGSF, Industrials, Staffing & Employment Services, 1397
BGSX, Financial Services, Shell Companies, 1398
BH, Consumer Cyclical, Restaurants, 1400
BHAT, Communication Services, Electronic Gaming & Multimedia, 1402
BHB, Financial Services, Banks - Regional, 1403
BHC, Healthcare, Drug Manufacturers - Specialty & Generic, 1404
BHE, Technology, Electronic Components, 1405
BHF, Financial Services, Insurance - Life, 1406
BHLB, Financial Services, Banks - Regional, 1408
BHP, Basic Materials, Other Industrial Metals & Mining, 1410
BHP.L, Basic Materials, Other Industrial Metals & Mining, 1411
BHRB, Financial Services, Banks - Regional, 1412
BHSE, Financial Services, Shell Companies, 1413
BHTG, Industrials, Pollution & Treatment Controls, 1414
BHVN, Healthcare, Biotechnology, 1415
BHWB, Financial Services, Banks - Regional, 1416
BICEY, Consumer Defensive, Household & Personal Products, 1417
BIDU, Communication Services, Internet Content & Information, 1419
BIG, Consumer Defensive, Discount Stores, 1421
BIGC, Technology, Software - Application, 1422
BIIB, Healthcare, Drug Manufacturers - General, 1423
BILI, Communication Services, Electronic Gaming & Multimedia, 1426
BILL, Technology, Software - Application, 1427
BIMI, Healthcare, Pharmaceutical Retailers, 1429
BIO, Healthcare, Medical Devices, 1430
BIO, Healthcare, Medical Devices, 1431
BIOC, Healthcare, Diagnostics & Research, 1434
BIOL, Healthcare, Medical Devices, 1436
BIOQ, Healthcare, Diagnostics & Research, 1440
BIOT, Financial Services, Shell Companies, 1441
BIOT.L, Financial Services, Shell Companies, 1442
BIOX, Basic Materials, Agricultural Inputs, 1443
BIP, Utilities, Utilities - Diversified, 1444
BITE, Financial Services, Shell Companies, 1446
BIVI, Healthcare, Biotechnology, 1447
BJ, Consumer Defensive, Discount Stores, 1448
BJRI, Consumer Cyclical, Restaurants, 1449
BK, Financial Services, Asset Management, 1450
BKCC, Financial Services, Asset Management, 1451
BKD, Healthcare, Medical Care Facilities, 1452
BKE, Consumer Cyclical, Apparel Retail, 1453
BKFG, Financial Services, Asset Management, 1454
BKGFY, Consumer Cyclical, Residential Construction, 1456
BKGM, Financial Services, Banks - Regional, 1457
BKH, Utilities, Utilities - Diversified, 1458
BKHYY, Financial Services, Banks - Regional, 1460
BKI, Technology, Software - Infrastructure, 1461
BKNG, Consumer Cyclical, Travel Services, 1462
BKOR, Financial Services, Banks - Regional, 1463
BKR, Energy, Oil & Gas Equipment & Services, 1464
BKSC, Financial Services, Banks - Regional, 1466
BKTI, Technology, Communication Equipment, 1468
BKU, Financial Services, Banks - Regional, 1469
BKUH, Healthcare, Drug Manufacturers - Specialty & Generic, 1470
BKUT, Financial Services, Banks - Regional, 1471
BKUTK, Financial Services, Banks - Regional, 1472
BKYI, Industrials, Security & Protection Services, 1475
BL, Technology, Software - Infrastructure, 1476
BLBD, Consumer Cyclical, Auto Manufacturers, 1477
BLCM, Healthcare, Biotechnology, 1478
BLCT, Communication Services, Internet Content & Information, 1479
BLD, Industrials, Engineering & Construction, 1480
BLDE, Industrials, Airports & Air Services, 1481
BLDP, Industrials, Specialty Industrial Machinery, 1482
BLDR, Industrials, Building Products & Equipment, 1483
BLFS, Healthcare, Medical Instruments & Supplies, 1484
BLHEY, Financial Services, Insurance - Diversified, 1485
BLHK, Financial Services, Banks - Regional, 1486
BLI, Healthcare, Biotechnology, 1487
BLIN, Technology, Software - Infrastructure, 1488
BLK, Financial Services, Asset Management, 1489
BLKB, Technology, Software - Application, 1490
BLL, Consumer Cyclical, Packaging & Containers, 1491
BLMN, Consumer Cyclical, Restaurants, 1492
BLNK, Consumer Cyclical, Specialty Retail, 1494
BLPH, Healthcare, Biotechnology, 1497
BLRX, Healthcare, Biotechnology, 1498
BLSA, Financial Services, Shell Companies, 1500
BLSFY, Basic Materials, Steel, 1501
BLTS, Financial Services, Shell Companies, 1503
BLUE, Healthcare, Biotechnology, 1504
BLUW, Financial Services, Shell Companies, 1506
BLX, Financial Services, Banks - Regional, 1509
BMA, Financial Services, Banks - Regional, 1510
BMBL, Technology, Software - Application, 1511
BMBN, Financial Services, Banks - Regional, 1512
BMEA, Healthcare, Biotechnology, 1515
BMI, Industrials, Electrical Equipment & Parts, 1516
BMMJ, Healthcare, Drug Manufacturers - Specialty & Generic, 1518
BMNM, Real Estate, REIT - Mortgage, 1520
